gene,objective function,constraint
Actr2,9.343011859539795,1
Fkbp8,9.343011626483571,1
Tmed5,9.343011189854096,1
Cwc15,9.343011046895048,1
Ccni,9.343009919164052,1
Prpf38b,9.340161043851896,1
Hnrnpul1,9.340160650932566,1
Arpp19,9.283153637419767,1
Psma5,9.283152753920344,1
Eloc,9.28315241396836,1
Nudt21,9.28315238753065,1
Bax,9.283152216196461,1
Tra2b,9.283151383971278,1
Uqcrfs1,9.283151183833915,1
Hnrnpd,9.283150554710671,1
Cct8,9.283150288763155,1
Raly,9.28314973718326,1
Snrpd3,9.283149649144832,1
Tcp1,9.28314950261827,1
Ndufb3,9.283149075706403,1
Tmem14c,9.28314902581526,1
Cct4,9.283148769498155,1
Gtf2h5,9.283148654318204,1
Ap2m1,9.283148246948477,1
Fkbp3,9.283147801950335,1
Hprt,9.283147745708998,1
Ndufs6,9.28314773084061,1
Sf3b5,9.283147673566274,1
Ddost,9.283147560846318,1
Sh3glb1,9.28314755491596,1
Fam49b,9.283147460964368,1
Ssr2,9.283147432231129,1
Ndufc1,9.283147117072382,1
Khdrbs1,9.283146827066608,1
Hdac1,9.283146621924377,1
Manf,9.283146558473835,1
Chchd10,9.283146508002021,1
Ube2l3,9.283146421127409,1
Ppp4c,9.283146321828722,1
Apobec3,9.283146254952728,1
Bag1,9.283146199371668,1
Snrnp70,9.28314605361814,1
Aurkaip1,9.283145990053011,1
Sf3b2,9.28314597206653,1
Ewsr1,9.28314562623436,1
Canx,9.283145617789284,1
Bola2,9.283145590611568,1
Uqcrc1,9.283145256910517,1
Stk39,9.283145119449031,1
P4hb,9.283145038539875,1
Ywhab,9.283144997990949,1
Hspa4,9.28314496805363,1
Emg1,9.283144921701703,1
Trir,9.28314470210135,1
Pa2g4,9.283144663766825,1
Hnrnpdl,9.28314439321414,1
Ndufa12,9.283144322509347,1
Npm3,9.283144321712951,1
Ube2m,9.283144163672167,1
Srsf11,9.283144099211626,1
Polr2l,9.283144017070606,1
Srrm1,9.283143991152684,1
Lsm5,9.283143900823424,1
Lsm6,9.283143850714342,1
U2af1,9.28314375312799,1
Sept11,9.283143582082381,1
Cct6a,9.283143515459908,1
Lmnb1,9.283143462565992,1
Mrps14,9.283143459980723,1
Snrpc,9.283143261719225,1
Ndufv2,9.28314319747696,1
Phb2,9.283143075441341,1
Dhx9,9.283142847751197,1
Psma1,9.283142630827403,1
Psmc3,9.283142126859211,1
Anapc11,9.28314207998572,1
Ddx39b,9.283141685065955,1
Eif2s1,9.283141642843809,1
G3bp1,9.283141544870405,1
Eif1ax,9.283141454715754,1
Nhp2,9.283141352329302,1
Nono,9.283140981374823,1
Dnajc9,9.283140809992268,1
Fbl,9.283140500026333,1
Timm23,9.283140225792906,1
Siva1,9.28313926319724,1
Slbp,9.283139089731515,1
Cyc1,9.28313894944831,1
Ndufab1,9.283138523684768,1
C1qbp,9.283138477894305,1
Nutf2,9.283137892164184,1
Impdh2,9.28313753113737,1
Ptges3,9.283137392810941,1
Nucks1,9.283137178152502,1
Rbbp7,9.28313654785473,1
Rbbp4,9.283136527435955,1
Cdk4,9.283135555641897,1
Dek,9.283134949365573,1
Anp32e,9.28313381069221,1
Ube2c,9.283133062146781,1
Cks1b,9.283132859791412,1
Tuba1c,9.283132387005848,1
H2afx,9.283129936897309,1
Birc5,9.283129835378148,1
Top2a,9.283117057135769,1
Hist1h1b,9.283108486406961,1
Pclaf,9.28310516000826,1
Gpbp1,9.114754476893445,1
Edem1,9.114754438866557,1
Tpp2,9.114754228483998,1
Nfatc1,9.106775600729698,1
Ptpn6,9.034624593292296,1
Ralbp1,9.007057087787393,1
Cyb5a,9.00705694756448,1
Kpna4,8.832672292207493,1
Rbl2,8.83267203608732,1
Spn,8.832671760996426,1
Gnai3,8.83267167953842,1
Lrrfip1,8.812137578819845,1
Arhgef1,8.812137440569817,1
Ctnnb1,8.773632137193502,1
Atp8b4,8.7008432465733,1
P2ry10,8.643556181205721,1
Ddx6,8.64355589226194,1
Prdx2,8.640549706279264,1
Cst3,8.640544425678163,1
Arf4,8.640543708259521,1
Ier2,8.640541482140552,1
Ndufs8,8.629247337603628,1
Nop10,8.508316462407842,1
Rwdd1,8.50831615887084,1
Esd,8.508314547282952,1
Gpx1,8.508314533410735,1
Dynlrb1,8.508310965498396,1
Zfp706,8.50831073426544,1
Eif2s2,8.508310283503327,1
Tmem167,8.508310021865027,1
Ndufb6,8.50830982601561,1
Cdc37,8.508309725722782,1
Ndufb4,8.508309640430312,1
Romo1,8.508309443297026,1
Dctn3,8.508309142525697,1
Micos13,8.50830876986927,1
Ubxn1,8.508308760320283,1
Tcf25,8.508308582304021,1
Mbd2,8.50830829526437,1
Timm10b,8.5083077910618,1
Lsm4,8.468989483096511,1
Selenoh,8.468989079833456,1
Etfb,8.468986723623834,1
Atpif1,8.46898388898952,1
Serpine2,8.468979744242839,1
Tubb4b,8.46897856673459,1
Psmb2,8.468977993410322,1
Cenpa,8.468977066949288,1
Swi5,8.46897209321319,1
Psmb6,8.46896741151581,1
Jpt1,8.468961503407677,1
Banf1,8.468946316876654,1
Nktr,8.443595918041387,1
Ube3a,8.443595868063314,1
Imp3,8.44359561834935,1
Brd4,8.443595617599154,1
Nars,8.443595409216416,1
Birc6,8.443595239621043,1
Cd96,8.443595156534952,1
Sf3b3,8.443594941922926,1
Ddx21,8.443594636774966,1
Sp140,8.441407190232344,1
Tnks2,8.368004273962143,1
Dusp2,8.288885474443354,1
Eif3m,8.25978729079579,1
Eomes,8.250474295253479,1
Mycbp2,8.15505227034557,1
Ezr,8.141010689026444,1
H2afy,8.141008620594983,1
Atp5k,8.141008501076513,1
Psmd8,8.14100565965622,1
Tap1,8.141003017805962,1
Btg2,8.13176083473183,1
Rfc5,8.1296254547424,1
Srrt,8.129625365767353,1
Cdkn1a,8.129625335834978,1
Ubtf,8.12962531241919,1
AI506816,8.129625308437141,1
Sf3a3,8.129625278442955,1
Spcs3,8.129625262108336,1
Eif1a,8.129625252816268,1
Snhg6,8.12962523966467,1
Rad23a,8.129625235255986,1
Parp1,8.129625232189742,1
Lamtor2,8.037300076371816,1
Tbca,8.037299983486008,1
Sec62,8.0372999175109,1
Hcls1,8.037299773745893,1
Ddit4,7.977434167025806,1
Brk1,7.977433974501749,1
Vps29,7.977433881669063,1
Bcas2,7.97743385261499,1
Sec11a,7.977433845889909,1
Ube2a,7.977433817283329,1
Txndc17,7.977433723214545,1
Sf1,7.977433671148912,1
Ndufs2,7.977433609117556,1
Acot7,7.977433592237499,1
Nt5c,7.977433549095726,1
Strap,7.977433536176031,1
Tomm5,7.977433488197862,1
Srpr,7.977433487058466,1
Ndufa8,7.977433408206519,1
Llph,7.977433403222334,1
Rnf7,7.977433358921511,1
Emd,7.977433318356851,1
Ebna1bp2,7.977433208714169,1
Tsn,7.977432995779265,1
Ciao2a,7.977432991521695,1
Gars,7.977432729811177,1
Dnaja2,7.977432575668702,1
Sfr1,7.977432572729997,1
Skp1a,7.977432419702106,1
Ndufa5,7.977432246382066,1
Prpf40a,7.977432226321695,1
Fam162a,7.977432191283141,1
Ndufs7,7.977432147626577,1
Smarca5,7.944282806004674,1
Eif3a,7.9442800432926255,1
Prrc2c,7.944278021640355,1
Eif4g2,7.944276586771392,1
Capns1,7.906027961304199,1
Pdcd10,7.906027817022848,1
Sdcbp,7.906027737917435,1
Anxa5,7.90602765898396,1
Baz1a,7.906027555369083,1
Pde4d,7.9038776412465985,1
Nrp1,7.866649419973344,1
Sept6,7.866238948973505,1
Scand1,7.866238708302489,1
Tm9sf3,7.866238616991876,1
Ubash3b,7.7952380957550576,1
Rad21,7.7693687457299045,1
Aebp2,7.76619414912178,1
Clint1,7.766193804765642,1
1110008P14Rik,7.766193605418062,1
Aip,7.766192785177621,1
Mrpl13,7.766192769309672,1
Ikzf2,7.728911732381589,1
Nsd3,7.726405060352896,1
Top2b,7.726404763255409,1
Ifi27,7.7264045249094355,1
1810026B05Rik,7.726404279705796,1
Aopep,7.726404267944783,1
Gls,7.726403366846522,1
Ctcf,7.726403222283561,1
Sugt1,7.702545044286648,1
Uqcc2,7.694151079219219,1
Rangap1,7.6850828848587875,1
Chp1,7.685082757590951,1
Anapc13,7.685082677335392,1
Cuedc2,7.685082665540718,1
Nabp2,7.685082663064055,1
Ptpn7,7.685082663049265,1
Bptf,7.685082658639174,1
Eml4,7.685082644129078,1
Yeats4,7.685082640958796,1
Elmo1,7.685082621356561,1
Lman1,7.68508261413059,1
Qdpr,7.685082614004853,1
Vmp1,7.685082611494201,1
Pkn2,7.685082611119909,1
Plgrkt,7.685082609330657,1
Rsbn1l,7.685082601544311,1
Ddrgk1,7.685082600745525,1
Gsk3a,7.685082589934543,1
Ubac2,7.685082584630829,1
Csnk1d,7.6850825829523925,1
Icam1,7.685082577808696,1
Gorasp2,7.685082570074148,1
Wdr33,7.6850825674878855,1
Cdk6,7.685082548346162,1
Selenot,7.685082532495529,1
Ppp1r16b,7.685082530527854,1
Tmem173,7.685082497615548,1
Peli1,7.65540486984426,1
Mkrn1,7.655404079046296,1
Rrbp1,7.64267979215132,1
Csnk2a1,7.642679442561792,1
Rnf187,7.642679145384435,1
M6pr,7.642679007903742,1
Sec13,7.642678983713614,1
Glipr1,7.642678946477117,1
Ssu72,7.642678914483751,1
Tecr,7.6426786192798355,1
Bzw1,7.642678609694969,1
Atrx,7.642678604134494,1
Cntrl,7.642678565803944,1
Cdv3,7.642678543049089,1
Psmd4,7.642678538197016,1
Caprin1,7.642678537456432,1
Mrps33,7.642678525774219,1
Eif4h,7.6426784929367155,1
Polr2j,7.642678411815805,1
Pabpn1,7.642678276538945,1
Gclm,7.642678134119332,1
Puf60,7.642678107631997,1
Srsf9,7.64267809355403,1
Tmed10,7.642678059942698,1
Mrps36,7.642678042991532,1
Lsm12,7.642678037849793,1
Eif3l,7.642678034841155,1
Gspt1,7.6426780285096925,1
Hnrnpc,7.64267800055185,1
Bola3,7.642677987182016,1
Fubp1,7.642677916629833,1
Syncrip,7.6426778982988886,1
Mrpl57,7.642677871436725,1
Mrpl20,7.642677863107606,1
Thrap3,7.642677827419225,1
Rnaseh2c,7.6426778084838665,1
Actn4,7.642677798692728,1
Ube2n,7.642677780048467,1
Cbx3,7.6426777518917435,1
Ddx39,7.642677737158152,1
Rexo2,7.6426777134465835,1
Mapre1,7.642677462551972,1
Pdap1,7.642677430769433,1
Rpn2,7.642677411081691,1
Rnps1,7.64267740369399,1
Dpy30,7.642677350676577,1
Lsm7,7.6426772990421465,1
Cacybp,7.64267727178223,1
Eif3b,7.642677241816643,1
Eprs,7.642677215530962,1
Pdia6,7.64267715493622,1
Anapc5,7.642677147529475,1
Psip1,7.642677146643864,1
Paics,7.642677107692842,1
Metap2,7.642676998435026,1
Cct3,7.642676920126822,1
Mrpl12,7.642676900091911,1
Gzmc,7.642676839526909,1
Magoh,7.642676752475563,1
Hdgf,7.642676598739769,1
Trp53,7.642676585958901,1
Exosc8,7.642676514286907,1
Eif4a3,7.642676503019599,1
Prmt1,7.642676474575074,1
Bub3,7.642676472749352,1
Nop58,7.642676406586955,1
Nasp,7.642676318480952,1
Cks2,7.642676309669945,1
Lsm2,7.642676287252443,1
Polr2f,7.642676099685431,1
Mrpl18,7.642675802518958,1
Phgdh,7.642675395400263,1
Ssrp1,7.642675384322621,1
Tyms,7.642675302617956,1
Nudc,7.642675079263063,1
Tmpo,7.64267415400158,1
Smc2,7.6426738733716855,1
Mcm6,7.64267328189643,1
Pcna,7.642672731880991,1
Ndufc2,7.634286814110151,1
Tmed2,7.634282359028637,1
Erh,7.634273981191518,1
Snrpd1,7.634271259731365,1
Snu13,7.634270644330351,1
Tiprl,7.633420194588994,1
Tpt1,7.61271956204061,1
Hist1h1c,7.602522286630511,1
Babam1,7.5765407333615995,1
Sptbn1,7.576540713406456,1
Mrps28,7.576540701949005,1
Tut4,7.576540685986654,1
Zc3h13,7.5765406674942515,1
Senp6,7.576540666833954,1
Tial1,7.576540659422248,1
Grap,7.576540594981934,1
Ube2i,7.575627778368301,1
Cmtm7,7.575619409207419,1
Rock1,7.571273155084627,1
Oxnad1,7.5326900459216555,1
Dusp1,7.514714443737761,1
Lnpep,7.500998648371906,1
Mier1,7.500998028814638,1
Wdr83os,7.459789011183754,1
Bcl2a1d,7.438535214791629,1
Tpx2,7.426151239129468,1
Tacc3,7.4261511988722955,1
Topbp1,7.4261508699412895,1
Tfrc,7.426150800109863,1
Babam2,7.426150771442459,1
Sdhc,7.426150750102506,1
Rab5c,7.426150725956512,1
Hscb,7.426150712691576,1
Abce1,7.426150697260111,1
Cdc5l,7.426150694167136,1
Phlda1,7.426150687578953,1
Gpr65,7.426150682844691,1
Rnf166,7.426150681082944,1
Oxsr1,7.426150653199025,1
Cbfb,7.426150642331374,1
Themis,7.4261505450342,1
Ifng,7.423254002187477,1
Itk,7.41296156144298,1
Slc3a2,7.412959490421354,1
Hist2h2ac,7.373814491700453,1
Paip2,7.366591260452929,1
Fermt3,7.366591130733597,1
Serpinb6a,7.366591096064606,1
Mrpl4,7.366590854394296,1
Ptpn1,7.366590824392049,1
Tbcb,7.366590819269758,1
Ndufs3,7.3665907948493485,1
Cd5,7.366590742257544,1
Adipor1,7.366590695605108,1
Wasf2,7.366590674398717,1
Commd3,7.366590620397652,1
Tspan13,7.366590574349229,1
Dock2,7.366590566744499,1
Ccdc50,7.36659056429444,1
Naa38,7.366590552992694,1
Rbis,7.366590472819405,1
Ctbp1,7.366590448931329,1
Vapa,7.366590435066214,1
Taf15,7.366590430314297,1
Higd2a,7.366590278992813,1
Akt1,7.366590168843458,1
Rex1bd,7.366590116469779,1
Snf8,7.366590115908543,1
Gadd45gip1,7.366590111974277,1
Cmpk1,7.366590100639591,1
Rp9,7.366590051720946,1
Arglu1,7.366590044328164,1
Elavl1,7.366590025262937,1
Diaph1,7.366590020145791,1
Eif3j1,7.3665899772174095,1
Slc1a5,7.366589964685122,1
Mrpl30,7.366589908331733,1
Ssbp1,7.3665898024192185,1
Uqcrc2,7.366589742687149,1
Cs,7.366589650783993,1
Mlec,7.36658961771849,1
mt-Nd3,7.366589607702015,1
Uba1,7.366589605130547,1
Rnh1,7.366589506075045,1
Csk,7.366589373533226,1
Mrps18c,7.366589323980313,1
Mrps21,7.366173547710043,1
Spcs2,7.366171331885653,1
Mrps16,7.366168910164402,1
Capza1,7.366168248719266,1
Cops9,7.366167565591011,1
Gem,7.366167495410003,1
Prdx5,7.366166587685308,1
Tmem160,7.366166559142343,1
Gng10,7.3661665552806275,1
Jak1,7.366166379185069,1
Prkch,7.366166232699346,1
Npc2,7.366166214858836,1
Esyt1,7.366166102007778,1
Pitpna,7.36616605872872,1
Dnajb6,7.366165855566205,1
Rgs1,7.366165716938354,1
Rap1a,7.36616570115077,1
Taldo1,7.366165605194065,1
Ugcg,7.366165603917081,1
Uhrf2,7.366165331657154,1
Efhd2,7.366165175386451,1
Srp14,7.366165134891716,1
Supt4a,7.366164975995941,1
Trac,7.366164459026124,1
Gng2,7.366164401235659,1
Dazap2,7.366164022124359,1
Ets1,7.366164021250409,1
Plaat3,7.366163913215547,1
Gabarapl2,7.366163661714564,1
Dnajc15,7.366163499629994,1
Chmp4b,7.36616339722572,1
Glrx,7.366163386090511,1
Vps28,7.366163133322929,1
Map1lc3b,7.3661630538678295,1
Mcl1,7.366162967249994,1
Zyx,7.3661627697152605,1
Saraf,7.366162531014429,1
Tmem50a,7.366162485016842,1
Vasp,7.3661622796903705,1
Cxcr6,7.36616215826287,1
Selenok,7.366160742729368,1
Gabarap,7.366160571401349,1
H2-T22,7.366160327472736,1
Cd48,7.366159643467723,1
Ppp1r18,7.366159082948617,1
Prr13,7.366157882245364,1
Stk17b,7.366157316325998,1
Hp1bp3,7.329285592155056,1
Aprt,7.306311566034522,1
Sf3b6,7.306308372674335,1
Pycard,7.30629629697425,1
Ap3b1,7.302408139352383,1
Ddx27,7.276335701648928,1
Ppp1r12a,7.272786041543296,1
Dbnl,7.2694191859945985,1
Chd4,7.269419031514704,1
Anp32a,7.269418901949142,1
Hnrnpm,7.269418704899009,1
Psmd13,7.269418544901413,1
Supt16,7.2694181288929185,1
Vdac1,7.269417757115944,1
Ppp1r14b,7.269417713578394,1
Mrpl42,7.269417148572603,1
Ppm1g,7.269416894931608,1
Med14,7.261610225936088,1
Mrps34,7.26161007777405,1
Adrm1,7.261610068088908,1
Hmgn1,7.261610056658244,1
Chrac1,7.261610043807137,1
Ogdh,7.261610040933157,1
Mphosph6,7.261610032445062,1
Desi1,7.2616100244486095,1
Txnrd1,7.261610022237388,1
Ptpn11,7.261610013494956,1
H2-Q6,7.24180916541215,1
Rpl9-ps6,7.212659372204851,1
Lamtor4,7.212659134719,1
Rnasek,7.212659107005,1
Kmt2e,7.212658231015276,1
Zap70,7.212657868881629,1
Gpd2,7.19220419274917,1
Psmd6,7.192203569131359,1
Spcs1,7.169451041260357,1
Ndufb5,7.1694501167400775,1
Nedd8,7.169448748132315,1
Srp9,7.169448279462133,1
Son,7.169447492389461,1
Rtraf,7.169447131197493,1
Akap13,7.169439882505856,1
Glud1,7.169437017763299,1
Ptbp3,7.158224504600218,1
Cenpe,7.116571612536625,1
Knl1,7.116571584118701,1
Nsd2,7.116571269650777,1
Skil,7.1165711674423235,1
Pds5a,7.1165711141275585,1
Ppp3cc,7.116571107739046,1
Rfc1,7.116571088511645,1
Fam92a,7.116571069536997,1
Ptpn2,7.116571057145941,1
Hk1,7.11657105401994,1
Ppp4r3a,7.116571043213994,1
Rif1,7.11657103600608,1
Timm13,7.109580569731187,1
Atxn2l,7.100684379057859,1
Zfp106,7.100684333525126,1
Alkbh5,7.100684323891319,1
Haus4,7.100684299173171,1
Hsd17b12,7.100684262187679,1
Znrd2,7.100684251243118,1
Myb,7.083245139388201,1
H2afz,7.044749660745707,1
Arhgap45,7.038097462062913,1
Rps6ka1,7.016085960872226,1
Dbi,7.008226077328234,1
Tpm4,7.008210716020944,1
Cotl1,7.008199777486488,1
mt-Nd2,7.0081912149758026,1
Bin2,7.001349984133285,1
Drap1,7.001349824874696,1
Ubxn4,7.001349736391381,1
Rsrc2,7.001349681178092,1
Rasal3,6.982182966517235,1
Ptp4a2,6.940209474857664,1
Cdca3,6.912786644329032,1
Phf20l1,6.912786209824229,1
Isyna1,6.912786073790942,1
Stub1,6.912786061494196,1
Maz,6.912786041556389,1
Mydgf,6.9127860267161685,1
Gtpbp4,6.9127859818266595,1
Fh1,6.912785959128458,1
Rpa1,6.912785882241222,1
Snrnp25,6.912785856416924,1
Rbck1,6.912785699876687,1
Carnmt1,6.912785520057665,1
Dusp11,6.882085891755487,1
Stk24,6.88208564793247,1
Ccng1,6.882085577993004,1
Srsf5,6.882085436226765,1
Myo10,6.882085263865568,1
Tram1,6.882084628994035,1
Cuta,6.867841676387636,1
Med28,6.867841590623189,1
Snx5,6.867841281082546,1
Sumo1,6.867840630089938,1
Eif5,6.86784023096564,1
Ckap5,6.8536782132911735,1
Srsf1,6.853678199091865,1
Eif1b,6.8536781123128865,1
Wbp4,6.853678098792252,1
Ak6,6.8536780689820365,1
Slc50a1,6.85367803340648,1
Letm1,6.853677996566697,1
Casp8,6.8536779853029035,1
Nudt5,6.853677982082744,1
Mrpl24,6.853677980769105,1
Slc16a3,6.853677979668088,1
Pcif1,6.853677978409245,1
Clptm1,6.853677970620157,1
Lbh,6.853677964561561,1
Agpat3,6.853677950729669,1
Tceal9,6.853677948689254,1
Tmem97,6.853677945865266,1
Hadhb,6.853677933640756,1
Ern1,6.853677913024995,1
Maea,6.8536779097677,1
Brix1,6.853677905557381,1
Prpsap1,6.853677902331139,1
Ide,6.853677897882349,1
Ncf4,6.818944024371895,1
Pnn,6.803127949141058,1
Gtf2b,6.803127841123042,1
Dynll2,6.803127434805052,1
Smarcc1,6.803127357839225,1
Uap1,6.788517412399075,1
Polr2a,6.7629712205429025,1
Dda1,6.762971139313131,1
Smu1,6.762971128326032,1
Ube2k,6.762971099462697,1
Vps36,6.762971074782959,1
Ndufa9,6.762971012957296,1
Hnrnpr,6.762970966811344,1
Cdkn2aipnl,6.762970884675912,1
Kpnb1,6.762970820844809,1
Ccar1,6.76297081520515,1
Uchl5,6.7629708145305605,1
Mbd3,6.762970795695979,1
Hnrnph1,6.762970787219583,1
Guk1,6.7629707152505585,1
Emc8,6.762970655647816,1
Csde1,6.762970575183949,1
Immt,6.762970481019576,1
Prrc2a,6.762970403955218,1
Prpf19,6.762969984559185,1
Dgat1,6.742252460619886,1
Polr2k,6.736569490579463,1
Larp4b,6.687379810099736,1
Chd1,6.687379727689677,1
Stap1,6.687379694097136,1
Cab39,6.687379371463869,1
Cstb,6.6817835064913105,1
Chmp2a,6.681783435098209,1
Gpsm3,6.68178330926318,1
Dusp4,6.679975442206467,1
Sra1,6.625374803579356,1
Sbno1,6.587439203411668,1
Fip1l1,6.5874391093335,1
Stk4,6.587438962453907,1
Mak16,6.587438933661783,1
Papola,6.587438915922308,1
Cyfip2,6.587438772770444,1
Myo1g,6.587438646485,1
Vps4b,6.587438476922042,1
Zfp207,6.58743834027646,1
Dnajc3,6.587438043755897,1
Pten,6.558710369835045,1
Celf2,6.547331768197206,1
Sat1,6.50446351198664,1
Gstp3,6.504463509703565,1
Cyth4,6.498660044409657,1
Acin1,6.494581370460351,1
Srp19,6.49458133448106,1
Pgls,6.492146367581836,1
Mrpl33,6.492141126976656,1
Anxa6,6.492138782056841,1
Lat,6.492138347034936,1
Ndufv3,6.492136263943941,1
Sf3b1,6.492135840482296,1
S100a13,6.492135005144678,1
Tle5,6.492132155728438,1
Tspo,6.492129742381298,1
Prdx6,6.492129573305069,1
Atp6v0e,6.49212713780207,1
Gimap4,6.492124492740578,1
Wdr1,6.492122447567956,1
Ndufa1,6.492122369217769,1
Dusp5,6.492120648349172,1
Emp3,6.492119880988767,1
Csnk2b,6.492117029601156,1
Itgb2,6.492110708229642,1
Cenpf,6.490750088407726,1
Racgap1,6.490750020665627,1
Aurkb,6.490749971279113,1
